LastPayDex,PayDex2,PayDex4
71.25,77.5,77.5
62.25,63.5,65.75
73.25,75.5,73.25
79.0,79.0,80.0
79.25,77.75,79.5
66.75,59.0,72.75
80.0,80.0,80.0
59.0,69.5,68.25
61.75,61.75,71.5
62.25,63.0,72.0
78.75,79.0,79.0
74.0,75.75,73.75
80.0,33.0,74.0
80.0,80.0,80.0
79.5,80.0,80.0
79.5,79.5,79.25
76.0,71.0,73.0
79.5,77.5,75.75
74.0,60.5,73.25
80.0,80.0,76.0
76.0,77.75,68.5
59.75,60.0,53.5
76.75,78.25,78.0
79.0,83.75,78.75
80.0,80.0,68.25
72.0,72.75,71.75
80.0,80.0,79.75
75.0,75.0,74.0
76.25,77.0,78.25
80.0,79.75,80.0
62.0,9.0,80.0
69.5,56.25,77.0
69.5,62.5,68.0
80.0,80.0,79.0
79.25,77.25,73.75
80.0,80.0,52.0
80.0,62.0,77.75
80.0,72.75,77.0
72.5,72.5,71.5
79.0,79.25,78.5
59.25,65.75,73.0
66.0,65.75,73.0
80.0,80.0,80.0
80.0,80.0,80.0
62.75,75.75,74.75
62.5,71.75,61.5
71.0,71.0,71.25
79.0,78.0,77.0
76.5,64.25,59.25
63.25,63.75,56.25
66.5,70.5,71.75
61.0,69.25,69.25
74.75,74.5,74.75
80.0,80.0,80.0
65.5,62.75,75.75
84.0,84.0,84.0
2.0,2.0,67.5
78.25,63.25,74.25
67.0,67.0,78.0
55.0,55.0,61.25
76.0,74.25,75.25
76.75,77.5,79.0
80.0,74.0,77.0
79.5,60.5,79.25
71.25,76.0,71.25
78.5,79.0,79.25
76.0,75.0,79.0
76.75,81.75,79.0
75.5,59.25,76.75
79.75,78.5,78.0
75.5,76.75,80.5
61.75,60.75,60.5
69.5,52.0,77.0
79.5,70.0,73.25
66.0,80.0,79.75
80.0,78.0,77.75
77.5,79.0,63.75
81.0,80.75,82.75
79.0,79.0,80.0
75.0,76.0,66.0
79.5,79.5,78.5
76.0,77.75,68.5
80.0,80.0,76.5
48.75,60.0,61.5
68.0,68.0,71.0
73.25,76.0,73.25
9.0,12.0,3.0
79.5,64.0,74.75
34.25,55.75,58.0
71.0,72.75,78.0
80.0,80.0,73.0
66.25,71.0,70.0
59.25,65.75,73.0
81.0,65.75,81.0
61.0,63.0,53.0
67.5,68.0,68.0
67.0,73.5,74.75
80.0,80.0,79.0
80.0,80.0,50.0
80.0,66.75,60.0
75.0,74.25,78.75
73.75,75.75,76.75
75.75,80.0,80.0
78.25,73.25,80.0
80.0,69.5,67.25
79.5,79.75,73.0
62.0,62.0,48.0
80.0,80.0,80.0
80.0,80.0,80.0
78.25,79.5,79.5
60.25,60.5,80.0
71.0,79.75,74.75
78.0,79.0,79.25
74.5,78.25,78.25
71.0,77.25,76.5
78.25,76.75,77.0
25.0,25.0,52.0
61.5,61.0,61.0
73.0,71.0,75.0
66.25,63.75,79.75
64.75,76.0,76.25
71.5,71.5,69.25
72.5,69.75,78.75
74.5,78.25,78.25
80.0,80.0,80.0
78.0,79.0,79.0
56.0,72.0,75.0
80.0,80.0,80.0
79.25,78.5,74.25
74.5,78.25,78.25
